farm,treatment,endpoint,month,month_mean,overall_mean,max,days_survival,years_survival,mean_annual_colonies,mean_annual_bees,queen_mortality,queen_survival,new_queens,surviving_queens,proportion_queens_surviving
PH,gdn,TotalBeesEverProduced,March,15762.36,19370.8503,31024.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,no gdn,TotalBeesEverProduced,March,15847.59,19700.23641,32079.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,alt gdn,TotalBeesEverProduced,March,13574.16,16711.53566,27110.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn pasture,TotalBeesEverProduced,March,16313.46,20202.60306,32957.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn,TotalColonies,March,5.9425,6.482573795,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,no gdn,TotalColonies,March,0.825833333,4.77330583,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,alt gdn,TotalColonies,March,0.9575,4.687241802,40.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn pasture,TotalColonies,March,0.836666667,5.204473325,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn,TotalColonies,March,5.35,6.98579356,46.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,no gdn,TotalColonies,March,1.0775,5.209957971,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,alt gdn,TotalColonies,March,1.21,6.13482477,43.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
